,0
5331,0
5335,0
5339,14
5345,0
5346,13
5348,15
5384,0
5391,0
5393,0
5394,13
5396,15
5431,0
5433,16
5438,0
5439,13
5441,15
5476,0
5478,16
5483,0
5484,13
5486,15
5521,0
5523,16
5526,12
5527,0
5528,15
5536,16
5539,12
5540,0
5541,15
5549,16
5552,12
5553,0
5554,15
5562,16
5565,12
5566,0
5567,15
5575,16
5579,0
5582,0
5584,15
5588,0
5589,29
5590,30
5592,17
5594,13
5597,11
5604,0
5608,0
5612,0
5616,14
5622,12
5623,0
5625,15
5652,0
5658,16
5663,0
5664,13
5666,15
5701,0
5703,16
5708,0
5709,13
5711,15
5746,0
5748,16
5753,0
5754,13
5756,15
5791,0
5793,16
5798,0
5799,13
5801,15
5836,0
5838,16
5841,12
5842,0
5843,15
5851,16
5854,12
5855,0
5856,15
5864,16
5867,12
5868,0
5869,15
5877,16
5881,0
5884,0
5886,15
5890,0
5891,29
5892,30
5894,17
5896,13
5899,11
5906,0
5910,0
5914,0
5918,14
5924,12
5925,0
5927,15
5954,0
5960,16
5965,0
5966,13
5968,15
6003,0
6005,16
6010,0
6011,13
6013,15
6048,0
6050,16
6055,0
6056,13
6058,15
6093,0
6095,16
6100,0
6101,13
6103,15
6138,0
6140,16
6143,12
6144,0
6145,15
6153,16
6156,12
6157,0
6158,15
6166,16
6169,12
6170,0
6171,15
6179,16
6183,0
6186,0
6188,15
6192,0
6193,29
6194,30
6196,17
6198,13
6201,11
6208,0
6212,0
6216,0
6220,14
6226,0
6227,13
6229,15
6264,0
6266,16
6271,0
6272,13
6274,15
6309,0
6311,16
6316,0
6317,13
6319,15
6354,0
6356,16
6361,0
6362,13
6364,15
6399,0
6401,16
6404,12
6405,0
6406,15
6414,16
6417,12
6418,0
6419,15
6427,16
6430,0
6432,0
6435,0
6441,0
6442,15
6443,16
6444,0
6445,0
6450,0
6453,0
6458,0
6462,0
6466,0
6470,0
6474,0
6478,0
6482,0
6488,14
6494,0
6495,13
6497,15
6533,0
6540,0
6542,0
6543,13
6545,15
6580,0
6582,16
6587,0
6588,13
6590,15
6625,0
6627,16
6632,0
6633,13
6635,15
6670,0
6672,16
6677,0
6678,13
6680,15
6715,0
6717,16
6722,0
6723,13
6725,15
6760,0
6762,16
6767,0
6768,13
6770,15
6805,0
6807,16
6812,12
6813,0
6815,15
6842,0
6848,16
6853,12
6854,0
6856,15
6883,0
6889,16
6894,12
6895,0
6897,15
6924,0
6930,16
6935,12
6936,0
6938,15
6965,0
6971,16
6976,12
6977,0
6979,15
7006,0
7012,16
7017,12
7018,0
7020,15
7047,0
7053,16
7058,12
7059,0
7061,15
7088,0
7094,16
7099,0
7100,13
7102,15
7137,0
7139,16
7142,12
7143,0
7144,15
7152,16
7156,0
7159,0
7161,15
7166,0
7169,0
7174,0
7178,0
7182,0
7186,0
7190,0
7194,0
7198,0
7204,14
7210,0
7211,13
7213,15
7248,0
7250,16
7255,0
7256,13
7258,15
7293,0
7295,16
7300,12
7301,0
7303,15
7330,0
7336,16
7341,0
7342,13
7344,15
7379,0
7381,16
7386,12
7387,0
7389,15
7416,0
7422,16
7427,0
7428,13
7430,15
7465,0
7467,16
7472,12
7473,0
7475,15
7502,0
7508,16
7513,0
7514,13
7516,15
7551,0
7553,16
7558,12
7559,0
7561,15
7588,0
7594,16
7599,0
7600,13
7602,15
7637,0
7639,16
7644,12
7645,0
7647,15
7674,0
7680,16
7685,0
7686,13
7688,15
7723,0
7725,16
7730,0
7731,13
7733,15
7768,0
7770,16
7773,12
7774,0
7775,15
7783,16
7786,0
7788,0
7791,0
7797,0
7798,15
7799,16
7800,0
7801,0
7806,0
7809,0
7814,0
7818,0
7822,0
7826,0
7830,0
7834,0
7838,0
7843,0
7850,0
7854,0
7858,0
7862,0
7866,0
7870,0
7874,0
7880,14
7886,0
7887,13
7889,15
7925,0
7932,0
